fecha;Jornada;equipo_local;equipo_visitante;goles_local;goles_visitante;Hora;url_partido
9/03/2026;Apertura 6;Cienciano;Sport Boys;3;1;No;https://www.sofascore.com/es-la/football/match/sport-boys-cienciano/bWsmW#id:15590542
9/03/2026;Apertura 6;Alianza Lima;Melgar;3;1;No;https://www.sofascore.com/es-la/football/match/alianza-lima-melgar/iWslW#id:15590586
8/03/2026;Apertura 6;ADT;ADC Juan Pablo II;2;3;No;https://www.sofascore.com/es-la/football/match/adc-juan-pablo-ii-asociacion-deportiva-tarma/hlJcsgzee#id:15590539
8/03/2026;Apertura 6;Los Chankas;Universitario;3;1;No;https://www.sofascore.com/es-la/football/match/los-chankas-cyc-universitario-de-deportes/fWseVac#id:15590545
7/03/2026;Apertura 6;Moquegua;Sport Huancayo;2;1;No;https://www.sofascore.com/es-la/football/match/cd-moquegua-sport-huancayo/VCnsYgXd#id:15590544
7/03/2026;Apertura 6;Comerciantes Unidos;UTC;1;2;No;https://www.sofascore.com/es-la/football/match/comerciantes-unidos-universidad-tecnica-de-cajamarca/ehKsjxKb#id:15590543
7/03/2026;Apertura 6;Sporting Cristal;Alianza Atlético;3;1;No;https://www.sofascore.com/es-la/football/match/alianza-atletico-de-sullana-cs-cristal/cWshW#id:15590587
7/03/2026;Apertura 6;Cusco;Deportivo Garcilaso;1;0;No;https://www.sofascore.com/es-la/football/match/deportivo-garcilaso-cusco-fc/kAAsJwId#id:15590540
6/03/2026;Apertura 6;Atlético Grau;Cajamarca;1;0;No;https://www.sofascore.com/es-la/football/match/fc-cajamarca-club-atletico-grau/NancscPHi#id:15590541
1/03/2026;Apertura 5;Comerciantes Unidos;Atlético Grau;3;1;No;https://www.sofascore.com/es-la/football/match/club-atletico-grau-comerciantes-unidos/jxKbsNanc#id:15536574
1/03/2026;Apertura 5;ADC Juan Pablo II;Cusco;2;1;No;https://www.sofascore.com/es-la/football/match/adc-juan-pablo-ii-cusco-fc/kAAsgzee#id:15536929
1/03/2026;Apertura 5;Universitario;Cajamarca;1;0;No;https://www.sofascore.com/es-la/football/match/fc-cajamarca-universitario-de-deportes/fWscPHi#id:15536571
28/02/2026;Apertura 5;Sport Boys;Moquegua;0;0;No;https://www.sofascore.com/es-la/football/match/cd-moquegua-sport-boys/mWsYgXd#id:15536573
28/02/2026;Apertura 5;Sport Huancayo;Sporting Cristal;2;1;No;https://www.sofascore.com/es-la/football/match/sport-huancayo-cs-cristal/cWsVCn#id:15536567
28/02/2026;Apertura 5;UTC;Alianza Lima;0;1;No;https://www.sofascore.com/es-la/football/match/universidad-tecnica-de-cajamarca-alianza-lima/lWsehK#id:15536569
27/02/2026;Apertura 5;Alianza Atlético;ADT;0;0;No;https://www.sofascore.com/es-la/football/match/asociacion-deportiva-tarma-alianza-atletico-de-sullana/hWshlJc#id:15536568
27/02/2026;Apertura 5;Melgar;Los Chankas;1;2;No;https://www.sofascore.com/es-la/football/match/los-chankas-cyc-melgar/iWseVac#id:15536572
27/02/2026;Apertura 5;Deportivo Garcilaso;Cienciano;2;3;No;https://www.sofascore.com/es-la/football/match/deportivo-garcilaso-cienciano/bWsJwId#id:15536575
23/02/2026;Apertura 4;Moquegua;Deportivo Garcilaso;1;0;No;https://www.sofascore.com/es-la/football/match/cd-moquegua-deportivo-garcilaso/JwIdsYgXd#id:15447031
22/02/2026;Apertura 4;ADT;UTC;2;2;No;https://www.sofascore.com/es-la/football/match/asociacion-deportiva-tarma-universidad-tecnica-de-cajamarca/ehKshlJc#id:15446514
22/02/2026;Apertura 4;Los Chankas;Sport Huancayo;3;2;No;https://www.sofascore.com/es-la/football/match/los-chankas-cyc-sport-huancayo/VCnseVac#id:15445905
22/02/2026;Apertura 4;Atlético Grau;ADC Juan Pablo II;1;2;No;https://www.sofascore.com/es-la/football/match/adc-juan-pablo-ii-club-atletico-grau/Nancsgzee#id:15445907
22/02/2026;Apertura 4;Cusco;Comerciantes Unidos;3;1;No;https://www.sofascore.com/es-la/football/match/comerciantes-unidos-cusco-fc/kAAsjxKb#id:15445915
21/02/2026;Apertura 4;Cajamarca;Melgar;3;1;No;https://www.sofascore.com/es-la/football/match/fc-cajamarca-melgar/iWscPHi#id:15446515
21/02/2026;Apertura 4;Sporting Cristal;Universitario;2;2;No;https://www.sofascore.com/es-la/football/match/universitario-de-deportes-club-sporting-cristal/cWsfW#id:15445906
21/02/2026;Apertura 4;Cienciano;Alianza Atlético;1;1;No;https://www.sofascore.com/es-la/football/match/alianza-atletico-de-sullana-cienciano/bWshW#id:15445910
20/02/2026;Apertura 4;Alianza Lima;Sport Boys;1;0;No;https://www.sofascore.com/es-la/football/match/sport-boys-alianza-lima/lWsmW#id:15445904
15/02/2026;Apertura 3;Melgar;Moquegua;4;0;No;https://www.sofascore.com/es-la/football/match/cd-moquegua-melgar/iWsYgXd#id:15445912
15/02/2026;Apertura 3;Sport Huancayo;Cajamarca;2;0;No;https://www.sofascore.com/es-la/football/match/fc-cajamarca-sport-huancayo/VCnscPHi#id:15445908
15/02/2026;Apertura 3;Comerciantes Unidos;Los Chankas;1;1;No;https://www.sofascore.com/es-la/football/match/los-chankas-cyc-comerciantes-unidos/jxKbseVac#id:15445914
14/02/2026;Apertura 3;Deportivo Garcilaso;ADT;1;0;No;https://www.sofascore.com/es-la/football/match/deportivo-garcilaso-asociacion-deportiva-tarma/hlJcsJwId#id:15445916
14/02/2026;Apertura 3;ADC Juan Pablo II;Sporting Cristal;0;2;No;https://www.sofascore.com/es-la/football/match/adc-juan-pablo-ii-club-sporting-cristal/cWsgzee#id:15446513
14/02/2026;Apertura 3;Sport Boys;Atlético Grau;1;0;No;https://www.sofascore.com/es-la/football/match/club-atletico-grau-sport-boys/mWsNanc#id:15445911
14/02/2026;Apertura 3;Alianza Atlético;Alianza Lima;0;0;No;https://www.sofascore.com/es-la/football/match/alianza-lima-alianza-atletico-de-sullana/hWslW#id:15445909
13/02/2026;Apertura 3;UTC;Cusco;1;0;No;https://www.sofascore.com/es-la/football/match/universidad-tecnica-de-cajamarca-cusco-fc/kAAsehK#id:15445913
13/02/2026;Apertura 3;Universitario;Cienciano;2;1;No;https://www.sofascore.com/es-la/football/match/universitario-de-deportes-cienciano/bWsfW#id:15445903
9/02/2026;Apertura 2;Cajamarca;Deportivo Garcilaso;1;1;No;https://www.sofascore.com/es-la/football/match/fc-cajamarca-deportivo-garcilaso/JwIdscPHi#id:15438956
8/02/2026;Apertura 2;Alianza Lima;Comerciantes Unidos;2;1;No;https://www.sofascore.com/es-la/football/match/comerciantes-unidos-alianza-lima/lWsjxKb#id:15438847
8/02/2026;Apertura 2;Sporting Cristal;Melgar;1;2;No;https://www.sofascore.com/es-la/football/match/melgar-club-sporting-cristal/cWsiW#id:15438836
8/02/2026;Apertura 2;Los Chankas;Alianza Atlético;1;0;No;https://www.sofascore.com/es-la/football/match/los-chankas-cyc-alianza-atletico-de-sullana/hWseVac#id:15438841
